EmployeeID,Name,Department,Position,Salary,HireDate,City
1,Employee_1,HR,Assistant,8969,2017-07-29,Fes
2,Employee_2,Sales,Analyst,6250,2015-07-25,Fes
3,Employee_3,HR,Technician,12333,2020-03-07,Rabat
4,Employee_4,Finance,Manager,13195,2016-06-04,Agadir
5,Employee_5,Support,Technician,14346,2024-10-16,Tanger
6,Employee_6,Support,Technician,6014,2017-10-14,Rabat
7,Employee_7,Support,Analyst,8624,2024-05-10,Fes
8,Employee_8,Marketing,Manager,7608,2021-06-09,Rabat
9,Employee_9,IT,Assistant,10719,2020-12-02,Casablanca
10,Employee_10,Support,Technician,13160,2022-06-04,Casablanca
11,Employee_11,Sales,Assistant,7925,2020-11-04,Rabat
12,Employee_12,IT,Manager,9868,2023-09-02,Agadir
13,Employee_13,Finance,Manager,14927,2017-01-12,Tanger
14,Employee_14,Finance,Analyst,4804,2021-10-11,Casablanca
15,Employee_15,Finance,Engineer,5334,2019-09-18,Fes
16,Employee_16,Finance,Analyst,4667,2016-03-25,Casablanca
17,Employee_17,Marketing,Assistant,4384,2017-02-24,Fes
18,Employee_18,HR,Analyst,13800,2024-11-21,Tanger
19,Employee_19,HR,Manager,7254,2022-07-25,Casablanca
20,Employee_20,Support,Technician,7440,2015-01-02,Agadir
21,Employee_21,Marketing,Engineer,6748,2018-01-06,Fes
22,Employee_22,HR,Manager,4012,2018-09-09,Casablanca
23,Employee_23,Finance,Technician,11726,2022-08-22,Casablanca
24,Employee_24,HR,Assistant,14399,2018-01-26,Rabat
25,Employee_25,IT,Assistant,9403,2020-11-27,Agadir
26,Employee_26,Support,Assistant,11454,2016-11-09,Agadir
27,Employee_27,HR,Analyst,10151,2024-08-29,Rabat
28,Employee_28,IT,Assistant,14337,2024-09-29,Fes
29,Employee_29,Sales,Assistant,10230,2020-01-07,Marrakech
30,Employee_30,IT,Analyst,14057,2016-01-06,Tanger
31,Employee_31,IT,Technician,4100,2024-05-01,Agadir
32,Employee_32,Finance,Manager,8978,2023-01-16,Marrakech
33,Employee_33,Finance,Engineer,13504,2022-03-31,Fes
34,Employee_34,Support,Assistant,14988,2017-11-11,Tanger
35,Employee_35,Finance,Assistant,10534,2016-12-22,Agadir
36,Employee_36,IT,Assistant,8704,2015-11-01,Casablanca
37,Employee_37,Marketing,Analyst,4449,2017-07-12,Agadir
38,Employee_38,Finance,Analyst,7167,2018-07-19,Tanger
39,Employee_39,Finance,Analyst,9380,2024-10-01,Marrakech
40,Employee_40,IT,Engineer,12312,2017-04-15,Casablanca
41,Employee_41,Sales,Manager,7856,2021-10-29,Tanger
42,Employee_42,Sales,Assistant,5075,2023-02-27,Fes
43,Employee_43,HR,Technician,8413,2021-05-14,Tanger
44,Employee_44,Support,Assistant,14914,2021-08-21,Agadir
45,Employee_45,Sales,Assistant,4701,2021-03-29,Fes
46,Employee_46,Finance,Assistant,7348,2022-03-24,Rabat
47,Employee_47,Marketing,Assistant,12185,2016-03-01,Rabat
48,Employee_48,HR,Manager,10836,2023-07-24,Casablanca
49,Employee_49,Support,Technician,12212,2020-06-15,Tanger
50,Employee_50,Marketing,Analyst,14638,2020-01-01,Marrakech
51,Employee_51,Marketing,Technician,9834,2021-10-24,Casablanca
52,Employee_52,Finance,Assistant,6249,2020-09-12,Fes
53,Employee_53,IT,Technician,14705,2021-07-04,Casablanca
54,Employee_54,IT,Assistant,7222,2022-12-02,Agadir
55,Employee_55,IT,Technician,8991,2016-03-29,Fes
56,Employee_56,Sales,Engineer,13374,2024-06-21,Marrakech
57,Employee_57,IT,Technician,14549,2017-02-02,Tanger
58,Employee_58,Support,Analyst,12118,2024-08-02,Fes
59,Employee_59,Finance,Analyst,6551,2024-09-17,Tanger
60,Employee_60,Sales,Technician,14265,2018-02-22,Tanger
61,Employee_61,Support,Technician,12257,2016-06-06,Casablanca
62,Employee_62,IT,Manager,12102,2016-04-26,Agadir
63,Employee_63,Support,Technician,12663,2021-06-22,Casablanca
64,Employee_64,Marketing,Analyst,6214,2015-05-02,Rabat
65,Employee_65,Finance,Engineer,12534,2024-11-27,Rabat
66,Employee_66,Finance,Analyst,4717,2016-08-03,Tanger
67,Employee_67,Support,Manager,6460,2024-04-07,Agadir
68,Employee_68,HR,Technician,7255,2021-12-09,Fes
69,Employee_69,Finance,Engineer,9790,2023-06-11,Tanger
70,Employee_70,Marketing,Analyst,9334,2020-12-12,Fes
71,Employee_71,Finance,Engineer,10830,2020-01-09,Tanger
72,Employee_72,HR,Assistant,11754,2022-05-30,Casablanca
73,Employee_73,Finance,Analyst,10940,2018-01-05,Tanger
74,Employee_74,Finance,Assistant,14722,2022-03-12,Tanger
75,Employee_75,HR,Engineer,7632,2016-12-18,Agadir
76,Employee_76,Finance,Technician,13247,2024-01-21,Agadir
77,Employee_77,Support,Technician,4014,2024-12-21,Fes
78,Employee_78,Sales,Technician,12208,2022-09-18,Agadir
79,Employee_79,Support,Assistant,14773,2024-02-08,Tanger
80,Employee_80,Finance,Technician,13971,2023-01-30,Agadir
81,Employee_81,IT,Manager,5949,2016-02-10,Agadir
82,Employee_82,IT,Analyst,12272,2018-06-20,Marrakech
83,Employee_83,Sales,Analyst,10799,2019-01-24,Marrakech
84,Employee_84,Finance,Engineer,10579,2015-10-04,Rabat
85,Employee_85,Marketing,Assistant,7079,2019-02-01,Casablanca
86,Employee_86,Finance,Analyst,12127,2024-01-05,Casablanca
87,Employee_87,IT,Assistant,13210,2018-06-02,Agadir
88,Employee_88,HR,Engineer,12971,2023-02-20,Rabat
89,Employee_89,Sales,Technician,5824,2018-01-29,Rabat
90,Employee_90,HR,Engineer,10329,2022-12-11,Fes
91,Employee_91,Marketing,Manager,7864,2019-07-16,Marrakech
92,Employee_92,Finance,Technician,14661,2019-10-20,Rabat
93,Employee_93,Marketing,Technician,6513,2016-05-21,Tanger
94,Employee_94,HR,Technician,14322,2024-04-25,Fes
95,Employee_95,Finance,Engineer,10710,2015-08-25,Agadir
96,Employee_96,Support,Manager,12516,2023-04-30,Tanger
97,Employee_97,Support,Assistant,7490,2024-05-03,Casablanca
98,Employee_98,Marketing,Engineer,12868,2017-01-21,Marrakech
99,Employee_99,Support,Analyst,10125,2021-12-28,Tanger
100,Employee_100,Support,Analyst,12079,2015-06-14,Agadir
101,Employee_101,IT,Engineer,14203,2022-12-03,Tanger
102,Employee_102,Support,Assistant,8888,2019-08-20,Tanger
103,Employee_103,IT,Analyst,6704,2020-05-10,Rabat
104,Employee_104,Sales,Assistant,13386,2022-08-07,Marrakech
105,Employee_105,IT,Technician,10260,2024-01-03,Casablanca
106,Employee_106,IT,Engineer,13096,2019-11-04,Agadir
107,Employee_107,HR,Technician,8597,2021-08-20,Fes
108,Employee_108,IT,Analyst,6904,2023-06-11,Fes
109,Employee_109,IT,Assistant,5123,2018-12-26,Agadir
110,Employee_110,HR,Technician,10935,2020-10-31,Casablanca
111,Employee_111,IT,Analyst,8316,2016-03-06,Agadir
112,Employee_112,Support,Manager,6270,2021-11-30,Rabat
113,Employee_113,IT,Technician,6724,2017-02-21,Fes
114,Employee_114,Sales,Manager,12121,2021-08-13,Fes
115,Employee_115,IT,Manager,11671,2017-08-12,Tanger
116,Employee_116,IT,Analyst,6258,2020-06-15,Rabat
117,Employee_117,Sales,Engineer,7862,2019-07-18,Fes
118,Employee_118,HR,Assistant,13122,2015-05-21,Rabat
119,Employee_119,Support,Analyst,7646,2016-12-20,Rabat
120,Employee_120,IT,Technician,11025,2019-07-09,Casablanca
121,Employee_121,Support,Assistant,5271,2024-08-28,Fes
122,Employee_122,Marketing,Engineer,12989,2024-10-13,Marrakech
123,Employee_123,Support,Analyst,7463,2024-07-06,Casablanca
124,Employee_124,HR,Engineer,14779,2020-05-30,Casablanca
125,Employee_125,HR,Technician,12608,2017-10-12,Rabat
126,Employee_126,IT,Analyst,14547,2015-10-15,Marrakech
127,Employee_127,Sales,Technician,8941,2021-07-30,Casablanca
128,Employee_128,HR,Assistant,4897,2015-12-09,Marrakech
129,Employee_129,Sales,Assistant,12244,2021-01-05,Fes
130,Employee_130,Marketing,Engineer,4605,2021-03-07,Rabat
131,Employee_131,Sales,Engineer,7677,2023-09-19,Casablanca
132,Employee_132,Finance,Assistant,8547,2022-05-25,Marrakech
133,Employee_133,Sales,Manager,12652,2017-09-02,Agadir
134,Employee_134,HR,Assistant,4774,2022-01-27,Casablanca
135,Employee_135,Sales,Analyst,9256,2023-07-18,Casablanca
136,Employee_136,Sales,Technician,9491,2019-12-29,Casablanca
137,Employee_137,Finance,Assistant,8030,2015-11-27,Marrakech
138,Employee_138,Finance,Assistant,9156,2015-12-31,Tanger
139,Employee_139,IT,Technician,9773,2015-01-11,Fes
140,Employee_140,HR,Technician,11175,2023-12-04,Casablanca
141,Employee_141,IT,Analyst,14886,2016-05-23,Agadir
